n,p,k,amt of n,amt of p,amt of k
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
2,1,1,65,19,32
3,5,6,64,50,60
1,4,2,40,46,30
5,1,5,93,16,32
3,1,3,63,20,39
4,6,6,87,37,39
